0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:57:44 +0900] "GET /kokotown/img/input4.gif HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:57:45 +0900] "GET /kokotown/ProductInfoAction.action HTTP/1.1" 200 5156
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:57:46 +0900] "GET /kokotown/ProductDetailAction.action?productId=2&categoryId=101 HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:57:47 +0900] "GET /kokotown/css/productDeatailInfo.css HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:57:48 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:57:48 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:58:32 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:58:32 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:58:32 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:58:32 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:58:32 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:58:32 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:01:40 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 4112
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:01:40 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:01:40 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:01:40 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:01:40 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
